surface,family,controlled_gate,decision,reason,mean_ap_delta,mean_ndcg25_delta,mean_top100_churn,source_gate_status,recommended_action
migration_affordability,frontier_interaction,top_frontier_interaction_ablation,mixed_no_promotion,"Helpful in conservative views, but weakens structural-plus or residual ranking.",0.00730108449367961,-0.0036160503968308277,0.1692857142857143,derived_existing_features,Keep report-only unless a capped overlay gate beats churn/false-positive controls.
anchor_halo_optionality,frontier_interaction,top_frontier_interaction_ablation,reject_default_feature,Does not improve model-fold quality consistently enough for feature promotion.,0.0011774924831073896,-0.008206443826106885,0.16857142857142857,derived_existing_features,Keep report-only unless a capped overlay gate beats churn/false-positive controls.
anchor_halo_affordability,frontier_interaction,top_frontier_interaction_ablation,reject_default_feature,Does not improve model-fold quality consistently enough for feature promotion.,-0.0021690363507781557,-0.0015731436537606003,0.19166666666666665,derived_existing_features,Keep report-only unless a capped overlay gate beats churn/false-positive controls.
amenity_value,frontier_interaction,top_frontier_interaction_ablation,mixed_no_promotion,"Helpful in conservative views, but weakens structural-plus or residual ranking.",0.006342824774293737,-0.011995468345981253,0.1630952380952381,derived_existing_features,Keep report-only unless a capped overlay gate beats churn/false-positive controls.
scarcity_buildability,frontier_interaction,top_frontier_interaction_ablation,reject_default_feature,Does not improve model-fold quality consistently enough for feature promotion.,-0.00020402556806982386,-0.00738254411490788,0.16023809523809526,derived_existing_features,Keep report-only unless a capped overlay gate beats churn/false-positive controls.
population_supply_tightness,preboom_interaction,preboom_interaction_model_ablation,mixed_no_promotion,"Helpful in conservative views, but weakens structural-plus or residual ranking.",0.002666966775011756,-0.007046399874555048,0.15904761904761902,derived_existing_features,Keep out of default features; use only as narrative context where component evidence is strong.
ssurgo_scarcity,preboom_interaction,preboom_interaction_model_ablation,mixed_no_promotion,"Helpful in conservative views, but weakens structural-plus or residual ranking.",0.006155238936145169,-0.0033750163938648936,0.1678571428571429,derived_existing_features,Keep out of default features; use only as narrative context where component evidence is strong.
jobs_affordability,preboom_interaction,preboom_interaction_model_ablation,reject_default_feature,Does not improve model-fold quality consistently enough for feature promotion.,-0.002003938463912225,-0.00369488786484648,0.1580952380952381,derived_existing_features,Keep out of default features; use only as narrative context where component evidence is strong.
p0_repeatable_treatment,repeatable_treatment,p0_repeatable_treatment_model_ablation,repeatable_treatment_not_model_ready,Do not promote this treatment into model training. Keep historical/repeatable P0 evidence in the review surface until a better controlled model shape improves P0 recall without fit drift.,,,,report_only_source_policy_required,Use P0 treatment diagnostics only after source-policy and model-health review.
announcement_anchor_events,corporate_anchor_event,announcement_anchor_event_model_impact_gate,announcement_anchor_event_model_impact_report_only_complete,Directionally useful but source/display gates remain binding.,,,,source_display_gate_required,Keep in opt-in evidence/memo context; do not add default rank influence.
institutional_anchor_official_panel,institutional_anchor,source_maturity_before_model_ablation,model_ablation_not_started_source_gate_open,source_maturity_match_gate_ready_provider_geocode_review_open,,,,source_maturity_match_gate_ready_provider_geocode_review_open,Run model-impact ablation only after provider geocode/leakage gates clear.
