source_id,name,source_family,training_eligibility,promotion_status,freshness,point_in_time_semantics,path_count,existing_path_count,existing_path_share,total_rows,max_year,duplicate_key_rows,null_key_rows,missing_key_columns,audit_status,notes
fhfa_county_hpi,FHFA county house-price index,public_price_history,production_eligible_existing,default_panel,annual,annual_observed,1,1,1.0,82755,2024.0,0,0,,ok,Core county price-history signal already used by existing model/label surfaces.
zillow_zhvi,Zillow-derived ZHVI features,price_history,production_eligible_existing,default_panel,monthly_to_annualized,annualized_observed,1,1,1.0,82755,2024.0,0,0,,ok,Existing annualized home-value surface in feature panel.
bls_qcew_core,BLS QCEW core labor features,labor,production_eligible_existing,default_panel,annual,annual_observed,2,2,1.0,161240,2024.0,0,0,,ok,"Core jobs, wage, establishment features."
qcew_sector_mix,QCEW sector mix,labor_sector_mix,diagnostic_only,report_only_rejected_direct_training,annual,annual_observed,1,1,1.0,78441,2023.0,0,0,,ok,"Useful for X-factor diagnostics, but prior model screens blocked default promotion."
cbp_anchor_size_national_candidate,CBP anchor size national candidate,establishments_anchor_size,report_only,source_policy_gate_required,annual,annual_observed,1,1,1.0,22551,2023.0,0,0,,ok,National candidate remains separate from QCEW sector-mix experiments.
sec_edgar_hq_expansion,SEC EDGAR HQ expansion batch,corporate_anchor,report_only,source_maturity_blocked_point_in_time_scaleup_open,snapshot_plus_filing_observed_batch,current_address_snapshot_with_report_only_filing_observed_candidates,26,26,1.0,2675,2026.0,1347,757,"fips, year",qa_review_needed,"Domestic geocode review is clear in reviewed snapshot artifacts. The SEC point-in-time HQ filing queue has now been parsed end-to-end in report-only mode: 521 filing-observed vintage rows, 367 point-in-time-ready rows, 367 geocode-ready rows, and 216 report-only county-year candidate rows across 69 counties. The latest parser-pattern continuation adds a conservative domestic city/state/ZIP principal-office context parser for filings where the current county context is already available; it rejects service/mailing-address contexts and keeps foreign/P.O. Box/non-geocode snippets out of parser work. The Census-backed pending-geocode packets accepted 6 additional validated override rows covering the latest 9 parsed geocode rows, bringing manual point-in-time HQ overrides to 83 rows with 0 duplicate address keys and 0 pending point-in-time geocode rows. Geocode review now reports 85 manual/matched rows and 282 auto snapshot-reuse rows. The reduced auto snapshot-reuse spot-check packet accepts 178 of 203 rows at the base street/noise stage; the county-level closeout packet stages 17 candidate rows, and the strict acceptance pass accepts 15 strict Census same-county rows. A supplemental held-row resolver accepts 6 of the next 10 held rows (2 B&G filing-derived Census same-county rows and 4 parser-fragment snapshot-street same-county rows). A final external-evidence packet accepts the remaining 4 held rows (2 Clearway external address/county rows and 2 Apple external address/county rows), so auto snapshot-reuse spot-check acceptance now stands at 203 of 203 rows with 0 open. The remaining parse-review packet has 154 rows: 7 city/ZIP-only parser candidates, 96 manual/no-local-snippet rows, 47 non-geocode rows excluded from parser work, and 4 fetch/cache failures. Source promotion remains blocked by current-address snapshot semantics and the parse-review backlog."
corporate_anchor_spillover,Corporate anchor direct/halo diagnostic,corporate_anchor,report_only,curated_source_quality_blocked,mixed,curated_or_snapshot,1,1,1.0,82755,2024.0,0,0,,ok,Product/context evidence only until source maturity improves.
announcement_anchor_events,"Announcement-level anchor, capex, and facility events",corporate_anchor_event,report_only,promotion_candidate_display_gate_required,event_observed,announcement_date_observed,9,9,1.0,823,2024.0,0,0,,ok,"Source maturity, systematic acquisition, coverage depth, and refresh repeatability gates are clean in report-only artifacts, but default Product Mode display and production eligibility require a separate explicit display/promotion policy gate."
institutional_anchor_ipeds_cms_hcris,IPEDS + CMS/HCRIS institutional anchor source seed,institutional_anchor,report_only,full_extract_match_gate_ready_provider_geocode_review_open_p2_authoritative_external_followup_closed_report_only,2023_full_extract,observed_source_year_required,48,48,1.0,16371,2024.0,8330,22,"fips, year",qa_review_needed,"Clean institutional-anchor upgrade lane for verified higher-education and health-system evidence. IPEDS official 2023 rows, the CMS/HCRIS 2023 final public-use annual CSV, CMS Provider Data Catalog Hospital General Information (`xubh-q36u`) P0/P1 follow-up, official Census territory county-equivalent FIPS support for Guam, Northern Mariana Islands, and U.S. Virgin Islands, a P1 Guayama authoritative Puerto Rico Department of Health/Census/provider-site review, the authoritative NPPES/Census/Davis County P0 closeout, and a P2 authoritative provider/NPPES/Census follow-up are staged report-only. The county-name normalizer now preserves true `* Island` county names while keeping territory island aliases, which joins the three CMS/HCRIS Rock Island County, IL provider rows to FIPS `17161` from official CMS county text without adding manual overrides. Conservative provider closeout, Census review, strict external/manual Census-context review, residual Census retry, residual context spot-checks, strict OSM/Nominatim external and same-city geocoder batches, the CMS HGI P0/P1 reviews, the CMS HGI P1 territory follow-up, the P1 Guayama authoritative review, the authoritative P0 review, and the P2 authoritative review have accepted 572 unique provider-year geocode overrides: 184 same-state/same-ZIP rows, 77 exact Census-confirmed same-city rows, 4 exact Census same-city conflict corrections, 14 strict non-exact same-FIPS Census context rows, 18 same-FIPS Census spot-check rows, 1 non-exact independent-city Census conflict correction, 139 exact Census-confirmed external rows, and 135 external/manual geocode review confirmations including 44 OSM/Nominatim point-in-county rows, 24 CMS HGI P0 Facility ID county/parish confirmations, 12 CMS HGI P1 Facility ID county/parish confirmations, 4 CMS HGI P1 territory Facility ID county-equivalent confirmations, 1 P1 Guayama authoritative Puerto Rico Department of Health/Census/provider-site confirmation, 1 authoritative NPPES/Census/Davis County P0 confirmation, and 8 P2 authoritative provider/NPPES/Census confirmations, applying report-only with 0 override conflicts or duplicate provider-year keys. CMS FIPS matching now clears the all-jurisdiction and 50-state product-universe 90% gates at 6,081 / 6,103 rows (99.6%) and 6,009 / 6,022 rows (99.8%). The remaining source-maturity blockers are packaged in an external/manual geocoder packet with 18 rows: 1 weak same-FIPS Census context row for manual review, 17 same-city unresolved-after-Census rows, and 0 external geocoder rows. The residual triage packet is ready with 18 rows, including 0 external-geocoder follow-up rows, 17 same-city held manual-review rows, 1 weak Census-context manual-review row, and 0 P0 rows. Reviewed results must pass the external/manual acceptance validator before any report-only override is appended; the P2 authoritative validator output accepted 8 official provider/NPPES/Census rows and held 0, the P1 Guayama authoritative validator output accepted 1 official Puerto Rico Department of Health/Census/provider-site row and held 0, the CMS HGI P1 territory validator output accepted 4 official Facility ID county-equivalent rows and held 1 Puerto Rico city/municipio conflict row before Guayama authoritative review, the CMS HGI P1 validator output accepted 12 official Facility ID county/parish rows and held 6, the authoritative P0 validator output accepted 1 official NPPES/Census/Davis County row and held 0, the CMS HGI P0 validator output accepted 24 official Facility ID county/parish rows and held 1, the latest OSM/Nominatim external geocoder validator output accepted 32 strict point-in-county rows and held 51, the latest OSM/Nominatim same-city validator output accepted 12 strict point-in-county rows and held 20, the latest residual context validator output accepted 8 strict context rows and held 18, and the latest residual retry validator output accepted 4 exact conflict corrections and held 124 rows. Institutional blockers also include 19 open provider-geocode review rows, 1 unresolved product-county row, leakage, and model-impact gates; production feature/rank promotion remains blocked."
ntad_freight_access,NTAD freight access,logistics_access,panel_product_only,static_snapshot_report_only,snapshot,snapshot_only,1,1,1.0,3235,,0,0,,ok,Freight access proxy is useful context but lacks historical change semantics.
