evidence_center_rank,surface,family,status,allowed_use,display_surface,blocker,next_action,risk_level,evidence_strength,evidence_center_priority
1,Guarded pre-boom two-score blend,preboom_shortlist,opt_in_evidence_panel_ready,opt-in report-only panel,County Evidence Panel,guarded_shortlist_only,Show in opt-in evidence panel with report-only label.,medium,7.27827954526763,100.0
2,Land optionality breakout V1,analog_label,operator_review_before_display,memo/context or research queue,County Evidence Panel,source_and_false_positive_review_required,Review false-positive/already-hot behavior before display expansion.,medium,1.0,97.0
3,Quiet breakout label V1,analog_label,operator_review_before_display,memo/context or research queue,County Evidence Panel,source_and_false_positive_review_required,Review false-positive/already-hot behavior before display expansion.,medium,0.7011607332061878,67.12
4,Announcement anchor events,corporate_anchor_event,report_only_display_gate_spec_ready_default_rank_blocked,opt-in display with source/status labels,Evidence Panel: Events,default_product_rank_or_score_influence,opt_in_report_only_event_evidence_panel_or_packet_section,medium,0.58,55.0
5,Institutional anchor official panel,institutional_anchor,source_maturity_match_gate_ready_provider_geocode_review_open,report-only evidence and archetype review,Evidence Panel / archetype queue,"19 provider geocode rows (4 ZIP, 18 city, 0 external; 22 local closeout candidates); 184 same-ZIP and 77 Census-confirmed same-city overrides accepted report-only; 4 exact Census same-city conflict corrections accepted report-only; 14 non-exact same-FIPS Census context overrides accepted report-only; 18 same-FIPS spot-check rows and 1 non-exact conflict corrections accepted report-only; 139 external Census overrides accepted report-only from 139 staged candidates; 18 residual rows packaged for external/manual geocoding (1 weak same-FIPS context, 17 same-city unresolved, 0 external geocoder); latest validator has 0 pending review rows, 29 accepted overrides, and 128 held rows; residual Census retry matched 42 rows and accepted 4 exact conflict corrections with 124 held; residual context spot-check reviewed 26 rows, accepted 8, and held 18; OSM external geocoder reviewed 83 rows, accepted 32, and held 51; OSM same-city geocoder reviewed 32 rows, accepted 12, and held 20; residual triage packet has 18 rows, 0 external follow-up rows, and 0 P0 rows; CMS HGI P0 review accepted 24 rows, applied 24, and held 1; CMS HGI P1 review accepted 12 rows, applied 12, and held 6; CMS HGI P1 territory review accepted 4 rows, applied 4, and held 1; P1 Guayama authoritative review accepted 1 rows, applied 1, and held 0; authoritative P0 review accepted 1 rows, applied 1, and held 0; P2 authoritative review accepted 8 rows, applied 8, and held 0; external/manual total accepted overrides now 135; training_blocked_insufficient_historical_observed_years","Run the 18-row external/manual geocoder packet, dry-run the acceptance validator, accept only reviewed county assignments, and keep default feature columns at 0 until ablation gates clear.",high,0.7,50.0
6,5yr rank-band boundary gate,rank_stability,report_only_rank_band_gate_built_no_promotion,operator-review labels only,Evidence Panel: 5yr Boundary,10 inside do-not-promote boundary rows,Use top-25 only for operator acceptance; keep top-50/top-100 blocked where do-not-promote rows remain.,medium,0.48,45.0
7,College/medical archetype gap closure,institutional_anchor,report_only_college_medical_archetype_gap_closure_ready,shortlist/review queue only,Research queue,source maturity and model-impact gates not cleared,Review top 100 gap-closure rows for geographic and false-positive behavior.,medium,0.62,44.0
8,Pre-boom archetype diversity queue,preboom_archetypes,report_only_diversity_followup_ready_no_promotion,balanced review queue,Research queue,2 archetype gaps remain,Backfill remaining energy/logistics archetype gaps before treating archetype coverage as complete.,medium,0.55,37.0
9,Anchor/halo support x land optionality,xfactor_interaction,report_only_memo_context,memo/context or research queue,County Evidence Panel,model-ablation-candidate,Keep as memo/context evidence; do not promote into default rank.,high,0.5570469798657718,35.7
10,Anchor/halo support x buildability,xfactor_interaction,research_queue,memo/context or research queue,County Evidence Panel,report-only,Keep in research queue and gather cleaner evidence.,medium,0.3422818791946309,31.23
11,National CBP P0 diagnostic,business_pattern_diagnostic,p0_national_cbp_product_gate_complete,product diagnostic only,Research queue,top-100 P0 capture did not improve default rank behavior,Keep as report-only P0 diagnostic until controlled model/source gates pass.,medium,0.45,27.0
12,Sector depth x low prior momentum,xfactor_interaction,research_queue,memo/context or research queue,County Evidence Panel,report-only,Keep in research queue and gather cleaner evidence.,medium,0.2013422818791946,17.13
13,Controlled X-factor ablation sprint,model_gate,controlled_report_only_ablation_sprint_complete,promotion gate evidence only,Research queue,do_not_promote_current_xfactor_surfaces,Keep as contextual evidence; investigate capped overlay instead of raw feature promotion.,high,0.5,15.0
14,Logistics/trade depth x low prior momentum,xfactor_interaction,research_queue,memo/context or research queue,County Evidence Panel,report-only,Keep in research queue and gather cleaner evidence.,medium,0.1275167785234899,9.75
15,Peer price spillover x state-relative value,xfactor_interaction,research_queue,memo/context or research queue,County Evidence Panel,report-only,Keep in research queue and gather cleaner evidence.,medium,0.1013513513513513,7.14
16,SEC point-in-time HQ scale-up,corporate_hq_history,scaleup_county_year_ready_source_maturity_blocked,report-only source maturity queue,Research queue,"current-address snapshot semantics still block promotion; 203 of 282 auto snapshot-reuse rows accepted (15 strict Census closeouts, 6 held-row resolutions, 4 final external-evidence rows), 0 held open; 17 county closeout candidates (15 strict Census), 8 pre-acceptance remaining review rows; 23 candidate queue rows accepted, 0 parsed geocode rows unresolved; 7 parser-pattern candidates and 96 manual parse rows",Auto-reuse spot checks are closed; implement 7 parser-pattern candidates and keep 96 rows in manual parse review.,high,0.42,7.0
17,Anchor/halo support x affordability,xfactor_interaction,research_queue,memo/context or research queue,County Evidence Panel,report-only,Keep in research queue and gather cleaner evidence.,medium,0.0738255033557047,4.38
18,Scarcity x buildability,xfactor_interaction,report_only_memo_context,memo/context or research queue,County Evidence Panel,model-ablation-candidate,Keep as memo/context evidence; do not promote into default rank.,high,0.2416107382550335,4.16
