parse_review_priority,parse_review_category,recommended_action,queue_row_id,entity_name,primary_ticker,filing_date,form_type,filing_accession,address_parse_status,address_parse_error,current_snapshot_business_street,current_snapshot_business_city,current_snapshot_business_state,current_snapshot_business_zip,current_snapshot_fips,current_snapshot_county_name,filing_document_cache_path,filing_document_fetch_error
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0496,Above Food Ingredients Inc.,ABVE,2024-04-09,424B3,0001104659-24-044918,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,2305 VICTORIA AVENUE #001,"REGINA, SASKATCHEWAN",,S4P 0S7,,,data/raw/sec_edgar_hq/filing_documents/CIK0001979484/000110465924044918/tm2326271-20_424b3.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0413,Above Food Ingredients Inc.,ABVE,2024-07-08,20-F,0001104659-24-078186,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,2305 VICTORIA AVENUE #001,"REGINA, SASKATCHEWAN",,S4P 0S7,,,data/raw/sec_edgar_hq/filing_documents/CIK0001979484/000110465924078186/tm2418826d1_20f.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0495,Above Food Ingredients Inc.,ABVE,2024-07-19,F-1,0001104659-24-080939,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,2305 VICTORIA AVENUE #001,"REGINA, SASKATCHEWAN",,S4P 0S7,,,data/raw/sec_edgar_hq/filing_documents/CIK0001979484/000110465924080939/tm2418998d1_f1.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0414,Activate Energy Acquisition Corp.,AEAQ,2026-03-11,10-K,0001213900-26-026243,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,71 FORT STREET PO BOX 500,GRAND CAYMAN,,00000,,,data/raw/sec_edgar_hq/filing_documents/CIK0002083689/000121390026026243/ea0279420-10k_activate.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0419,"Allied Energy, Inc.",AGGI,2026-04-15,10-K,0001683168-26-002986,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,104-360 COLLEGE STREET SUITE #251,TORONTO,,M5T 1S6,,,data/raw/sec_edgar_hq/filing_documents/CIK0001109262/000168316826002986/allied_i10k-123125.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0420,"Allied Energy, Inc.",AGGI,2026-04-17,10-K/A,0001683168-26-003039,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,104-360 COLLEGE STREET SUITE #251,TORONTO,,M5T 1S6,,,data/raw/sec_edgar_hq/filing_documents/CIK0001109262/000168316826003039/allied_i10ka1-123125.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0435,Brenmiller Energy Ltd.,BNRG,2023-03-22,20-F,0001213900-23-021814,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 AMAL STREET,ROSH HAAYIN,L3,4809249,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901215/000121390023021814/f20f2022_brenmiller.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0436,Brenmiller Energy Ltd.,BNRG,2024-03-18,20-F,0001213900-24-023515,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 AMAL STREET,ROSH HAAYIN,L3,4809249,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901215/000121390024023515/ea0201044-20f_brenmiller.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0437,Brenmiller Energy Ltd.,BNRG,2025-03-04,20-F,0001213900-25-020178,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 AMAL STREET,ROSH HAAYIN,L3,4809249,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901215/000121390025020178/ea0231962-20f_brenmiller.htm,
high,snapshot_address_text_found_needs_parser_pattern,add parser pattern around matched filing address text,sec_pit_0438,Brenmiller Energy Ltd.,BNRG,2026-03-25,20-F,0001213900-26-034046,parse_review_needed,principal executive offices marker not parsed into domestic street/city/state/zip,13 AMAL STREET,ROSH HAAYIN,L3,4809249,,,data/raw/sec_edgar_hq/filing_documents/CIK0001901215/000121390026034046/ea0279203-20f_brenmiller.htm,
