command_priority_rank,surface,label,family,command_priority_score,product_readiness,recommended_action,decision,promotion_gate,analog_lift_or_capture,analog_top_decile_capture,false_positive_rate,rank_churn,source_maturity,training_eligibility,point_in_time_semantics,evidence_detail
1,guarded_preboom_blend,Guarded pre-boom two-score blend,preboom_shortlist,93.06,opt_in_evidence_panel_ready,Show in opt-in evidence panel with report-only label.,report_only_product_review_lane,guarded_shortlist_only,7.27827954526763,0.3571428571428572,0.07,,report_only_guarded_surface,report_only,historical_label_validation,Guarded top-100 has 0 counties under 25k population and 0 negative Wave3-net counties.
2,land_optionality_breakout_v1,Land optionality breakout V1,analog_label,71.19,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,1.0,0.027809917355371902,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 100.0%; quiet-breakout share 8.9%.
3,quiet_breakout_label_v1,Quiet breakout label V1,analog_label,59.83,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.7011607332061878,0.09289627039627037,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 86.7%; quiet-breakout share 8.9%.
4,anchor_halo_optionality,Anchor/halo support x land optionality,xfactor_interaction,59.1,report_only_memo_context,Keep as memo/context evidence; do not promote into default rank.,reject_default_feature,model-ablation-candidate,0.5570469798657718,0.5570469798657718,0.3058958879430368,0.1685714285714285,validated_report_only_interaction,report_only,derived_from_existing_panel,Report-only ranking signal did not translate into consistent residual-model rank quality.
5,sector_depth_low_momentum,Sector depth x low prior momentum,xfactor_interaction,54.35,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.2013422818791946,0.2013422818791946,0.0,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
6,anchor_halo_buildability,Anchor/halo support x buildability,xfactor_interaction,53.8,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.3422818791946309,0.3422818791946309,0.2685166445598859,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
7,logistics_depth_low_momentum,Logistics/trade depth x low prior momentum,xfactor_interaction,51.55,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.1275167785234899,0.1275167785234899,0.0,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
8,peer_spillover_value,Peer price spillover x state-relative value,xfactor_interaction,47.38,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.1013513513513513,0.1013513513513513,0.144338095553863,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
9,scarcity_buildability,Scarcity x buildability,xfactor_interaction,47.09,report_only_memo_context,Keep as memo/context evidence; do not promote into default rank.,reject_default_feature,model-ablation-candidate,0.2416107382550335,0.2416107382550335,0.31405310997135,0.1602380952380952,validated_report_only_interaction,report_only,derived_from_existing_panel,Report-only ranking signal did not translate into consistent residual-model rank quality.
10,anchor_halo_affordability,Anchor/halo support x affordability,xfactor_interaction,45.36,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.0738255033557047,0.0738255033557047,0.1886257628978822,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
11,anchor_halo_supply_tightness,Anchor/halo support x supply tightness,xfactor_interaction,44.14,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.0604026845637583,0.0604026845637583,0.2208396700753464,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
12,amenity_value,Recreation access x affordability,xfactor_interaction,43.98,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.0268456375838926,0.0268456375838926,0.1699979041564078,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
13,income_growth_value,Income growth x value,xfactor_interaction,43.89,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.0335570469798657,0.0335570469798657,0.1856377135525112,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
14,migration_affordability,Migration pressure x affordability,xfactor_interaction,43.74,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.0671140939597315,0.0671140939597315,0.2503652905686855,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
15,sector_depth_affordability,Sector depth x affordability,xfactor_interaction,42.06,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.0,0.0,0.2111054031803901,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
16,jobs_affordability,Job growth x affordability,xfactor_interaction,42.05,research_queue,Keep in research queue and gather cleaner evidence.,,report-only,0.0402684563758389,0.0402684563758389,0.2808680636475125,,validated_report_only_interaction,report_only,derived_from_existing_panel,nan
17,boom_onset_research_classifier,Boom-onset LOFO research classifier,boom_onset_research,41.82,research_queue,Keep in research queue and gather cleaner evidence.,report_only_research_surface,research_queue,0.16115828615828615,0.04935203685203685,,,report_only_research_surface,report_only,lofo_family_exclusion_with_label_overlap_caveat,"Quiet LOFO capture@100 16.1% (ensemble_blend_cbp, rank_blend) vs momentum reference 1.6% across 62 family windows."
18,guarded_xfactor_overlay,Guarded X-factor overlay,post_model_overlay,40.56,research_queue,Keep in research queue and gather cleaner evidence.,pass_guardrails,report_only_next_lane,,,,0.030000000000000027,report_only_next_lane,report_only,derived_overlay,Top-25 churn 4.0%; top-100 churn 3.0%; mean abs rank shift 24.6.
19,interaction_buildability_scarcity,Buildability x scarcity,analog_interaction,39.92,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.17727272727272728,0.3037190082644628,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 62.5%; quiet-breakout share 8.9%.
20,future_growth_rank_oracle,Future growth rank oracle,analog_oracle,39.81,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.17429752066115703,0.4095698241152786,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 86.4%; quiet-breakout share 8.9%.
21,residual_growth_rank,Residual growth rank,analog_target_analysis,37.95,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.12537878787878787,0.28100974782792965,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 72.7%; quiet-breakout share 8.9%.
22,land_support_score,Land support score,analog_support,36.82,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.09545454545454546,0.30971074380165287,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 60.0%; quiet-breakout share 8.9%.
23,residual_breakout_label_v1,Residual breakout label V1,analog_label,36.78,operator_review_before_display,Review false-positive/already-hot behavior before display expansion.,report_only_analog_surface,source_and_false_positive_review_required,0.09452214452214448,0.09452214452214448,0.614181500317864,,mixed_report_only_surface,report_only,historical_surface_validation,22 analog windows; max top-100 capture 50.0%; quiet-breakout share 8.9%.
